ID,action,adminId_ID,userId_ID,taskId_ID,projectId_ID,details,logType,createdAt,createdBy,modifiedAt,modifiedBy
LOG001,CREATE_TASK,USER001,USER002,TASK001,PROJ001,Task created by manager,information,2025-06-01T10:00:00Z,USER001,2025-06-01T10:00:00Z,USER001
LOG002,UPDATE_STATUS,USER005,USER003,TASK002,PROJ001,Status changed to inProgress,information,2025-06-02T11:00:00Z,USER005,2025-06-02T11:00:00Z,USER005
LOG003,ASSIGN_TASK,USER001,USER006,TASK004,PROJ002,Task assigned,warning,2025-06-03T08:30:00Z,USER001,2025-06-03T08:30:00Z,USER001
LOG004,DELETE_TASK,USER005,USER009,TASK006,PROJ003,Task removed,error,2025-06-04T09:00:00Z,USER005,2025-06-04T09:00:00Z,USER005
LOG005,UPDATE_PROJECT,USER001,USER004,,PROJ004,Deadline updated,information,2025-06-05T10:00:00Z,USER001,2025-06-05T10:00:00Z,USER001
LOG006,LOGIN_FAIL,USER007,USER010,,PROJ005,Wrong credentials,error,2025-06-06T11:45:00Z,USER007,2025-06-06T11:45:00Z,USER007
LOG007,CREATE_PROJECT,USER001,USER008,,PROJ006,New project created,information,2025-06-07T13:00:00Z,USER001,2025-06-07T13:00:00Z,USER001
LOG008,CLOSE_TASK,USER005,USER002,TASK006,PROJ003,Task completed,information,2025-06-08T14:20:00Z,USER005,2025-06-08T14:20:00Z,USER005
LOG009,REASSIGN_TASK,USER001,USER003,TASK010,PROJ009,Reassigned task,warning,2025-06-09T16:00:00Z,USER001,2025-06-09T16:00:00Z,USER001
LOG010,ARCHIVE_TASK,USER012,USER007,TASK008,PROJ006,Task archived,information,2025-06-10T17:30:00Z,USER005,2025-06-10T17:30:00Z,USER005
