ID,title,description,priority,dueDate,assignedTo_ID,status,project_ID,isArchived,createdAt,createdBy,modifiedAt,modifiedBy
TASK001,Design homepage,Create landing page,high,2025-08-01,USER002,open,PROJ001,false,2025-06-01T09:00:00Z,USER001,2025-06-05T09:30:00Z,USER001
TASK002,Build login,Implement auth,high,2025-08-10,USER003,inProgress,PROJ001,false,2025-06-01T09:30:00Z,USER001,2025-06-06T10:00:00Z,USER001
TASK003,Create API,Backend endpoints,medium,2025-08-15,USER003,onReview,PROJ002,false,2025-06-02T10:00:00Z,USER005,2025-06-06T13:00:00Z,USER005
TASK004,Test UI,UI testing,low,2025-08-20,USER006,hold,PROJ002,false,2025-06-03T08:00:00Z,USER005,2025-06-07T08:20:00Z,USER005
TASK005,Setup pipeline,CICD,high,2025-08-05,USER007,inProgress,PROJ004,false,2025-06-03T10:00:00Z,USER001,2025-06-05T16:00:00Z,USER001
TASK006,Create wireframe,Design screens,medium,2025-08-08,USER009,completed,PROJ003,false,2025-06-04T07:00:00Z,USER005,2025-06-06T17:00:00Z,USER005
TASK007,Client review,Demo to client,low,2025-08-18,USER010,open,PROJ005,false,2025-06-04T09:00:00Z,USER005,2025-06-08T09:00:00Z,USER005
TASK008,Optimize DB,Improve queries,medium,2025-08-25,USER002,overdue,PROJ006,true,2025-06-05T10:00:00Z,USER001,2025-06-10T11:00:00Z,USER001
TASK009,Update docs,Write documentation,low,2025-08-28,USER006,open,PROJ007,false,2025-06-06T09:00:00Z,USER005,2025-06-09T09:30:00Z,USER005
TASK010,Security scan,Vulnerability scan,high,2025-08-30,USER007,onReview,PROJ008,false,2025-06-07T14:00:00Z,USER001,2025-06-10T15:00:00Z,USER001
